"","SP_CODE","COMMON_NAME","SP_CATEGORY","COMMON_POP"
"1",8708030101,"BONNETHEAD","SmallCoastal",NA
"2",8708030102,"SMOOTH HAMMERHEAD","LargeCoastal","SHARK HAMMERHEAD SMOOTH "
"3",8708030103,"SCALLOPED HAMMERHEAD SHARK","LargeCoastal","SHARK HAMMERHEAD SCALLOPED"
"4",8708030104,"GREAT HAMMERHEAD","LargeCoastal","SHARK HAMMERHEAD GREAT"
"5",8711010102,"ATLANTIC ANGEL SHARK","Prohibited",NA
"6",8705020101,"SIXGILL SHARK","Prohibited",NA
"7",8705020201,"SEVENGILL SHARK","Prohibited",NA
"8",8707020101,"NURSE SHARK","LargeCoastal",NA
"9",8707030101,"SAND TIGER","Prohibited","SHARK SAND TIGER"
"10",8707040101,"WHITE SHARK","Prohibited",NA
"11",8707040201,"BASKING SHARK","Prohibited",NA
"12",8707040302,"PORBEAGLE","Pelagic","SHARK PORBEAGLE"
"13",8707040401,"THRESHER SHARK","Pelagic","SHARK THRESHER COMMON"
"14",8707040402,"BIGEYE THRESHER","Prohibited","SHARK THRESHER BIGEYE"
"15",8707040501,"SHORTFIN MAKO","Pelagic","SHARK MAKO SHORTFIN"
"16",8708020201,"TIGER SHARK","LargeCoastal","SHARK TIGER"
"17",8708020301,"ATLANTIC SHARPNOSE SHARK","SmallCoastal","SHARK ATLANTIC SHARPNOSE"
"18",8708020501,"DUSKY SHARK","Prohibited","SHARK DUSKY"
"19",8708020502,"BULL SHARK","LargeCoastal","SHARK BULL "
"20",8708020503,"SANDBAR SHARK","LargeCoastal","SHARK SANDBAR"
"21",8708020504,"BLACKNOSE SHARK","SmallCoastal","SHARK BLACKNOSE"
"22",8708020505,"BIGNOSE SHARK","Prohibited","SHARK BIGNOSE"
"23",8708020506,"SILKY SHARK","LargeCoastal","SHARK SILKY"
"24",8708020507,"BLACKTIP SHARK","LargeCoastal","SHARK BLACKTIP"
"25",8708020508,"OCEANIC WHITETIP SHARK","Pelagic","SHARK OCEANIC WHITETIP"
"26",8708020509,"SPINNER SHARK","LargeCoastal","SHARK SPINNER"
"27",8708020601,"BLUE SHARK","Pelagic","SHARK BLUE"
"28",8708020701,"NIGHT SHARK","Prohibited","SHARK NIGHT"
"29",8708020801,"LEMON SHARK","LargeCoastal",NA
"30",8708021001,"FINETOOTH SHARK","SmallCoastal","SHARK FINETOOTH"
"31",NA,"BILLFISH FAMILY","Billfishes",NA
"32",NA,"BLACK MARLIN","Billfishes",NA
"33",NA,"BLUE MARLIN","Billfishes",NA
"34",NA,"SHORTBILL SPEARFISH","Billfishes",NA
"35",NA,"STRIPED MARLIN","Billfishes",NA
"36",NA,"ALBACORE","Scombridae",NA
"37",NA,"BIGEYE TUNA","Scombridae",NA
"38",NA,"BLUEFIN TUNA","Scombridae",NA
"39",NA,"SKIPJACK TUNA","Scombridae",NA
"40",NA,"STRIPED BONITO","Scombridae",NA
"41",NA,"WAHOO","Scombridae",NA
"42",NA,"YELLOWFIN TUNA","Scombridae",NA
