SVSPP,Species
13,Smooth dogfish
15,Spiny dogfish
23,Winter skate
26,Little skate
28,Thorny skate
32,Atlantic herring
72,Silver hake
73,Atlantic cod
74,Haddock
75,Pollock
76,White hake
77,Red hake
78,Spotted hake
102,American plaice
103,Summer flounder
104,Fourspot
105,Yellowtail flounder
106,Winter flounder
107,Witch flounder
108,Windowpane
121,Atlantic mackerel
131,Butterfish
135,Bluefish
141,Black sea bass
143,Scup
145,Weakfish
155,Acadian redfish
164,Sea raven
193,Ocean pout
197,Goosefish
84,Cusk
69,Offshore hake
4,Roughtail stingray
375,Spiny butterfly ray
27,Smooth skate
25,Rosette skate
24,Clearnose skate
22,Barndoor skate
19,Bullnose ray
18,Bluntnose stingray
163,Longhorn sculpin
156,Blackbelly rosefish
136,Atlantic croaker
149,Spot
35,Atlantic menhaden
192,Atlantic wolffish
360,Atlantic sharpnose shark
101,Atlantic halibut
139,Striped bass
270,Cownose ray
